,Screen Name,Tweet,Date,Compound Score,Positive Score,Negative Score,Neutral Score,Tweets Ago
332,nytimes,Breaking News: President Trump threatened to end trade with G-7 nations that he said use unfair practices. “We’re l… https://t.co/uI5rOmZ76O,2018-06-09 15:41:58+00:00,-0.7269,0.0,0.253,0.747,333
333,nytimes,"Flaky mounds of quick bread, golden brown, with a significant crumb https://t.co/wbMRgvySpY",2018-06-09 15:32:50+00:00,0.2023,0.153,0.0,0.847,334
334,nytimes,Breaking News: Simona Halep of Romania beat Sloane Stephens to win the French Open. It was the first Grand Slam tit… https://t.co/3sFwWkJ353,2018-06-09 15:16:31+00:00,0.6369,0.239,0.092,0.669,335
335,nytimes,Her $1 million gift left educators asking: How was one teacher able to save so much money?https://t.co/Vv8fhgbwWA,2018-06-09 15:05:06+00:00,0.7269,0.289,0.0,0.711,336
336,nytimes,"If you or someone else you know is having thoughts of suicide, call the National Suicide Prevention Lifeline at 1-8… https://t.co/5kOUYV8c3u",2018-06-09 14:51:21+00:00,-0.875,0.0,0.321,0.679,337
337,nytimes,New federal data shows that suicide rates have been increasing for years in almost every state and across demograph… https://t.co/g6znmjYQl5,2018-06-09 14:50:03+00:00,-0.6705,0.0,0.191,0.809,338
338,nytimes,"After failing to repeal the Affordable Care Act, the Trump administration is seizing on a different strategy for di… https://t.co/Low8zwBsVL",2018-06-09 14:37:50+00:00,-0.0258,0.136,0.14,0.723,339
339,nytimes,"Our experts weighed in on the contenders, including the Triple Crown hopeful Justify, for the 150th Belmont Stakes https://t.co/xi9TIoAxWb",2018-06-09 14:36:39+00:00,0.5106,0.155,0.0,0.845,340
340,nytimes,"RT @NYTMetro: “This is the deportation machine in full effect, and everyone should wake up to how American citizens and their families are…",2018-06-09 14:20:07+00:00,0.0,0.0,0.0,1.0,341
341,nytimes,"RT @caityweaver: The strangest and best recommendation I will ever make to you is: Listen to the same 4 podcast appearances by ""Sex and the…",2018-06-09 14:02:25+00:00,0.6369,0.16,0.0,0.84,342
342,nytimes,Pope Tells Oil Executives to Act on Climate: ‘There Is No Time to Lose’ https://t.co/jpXdOMmBOf,2018-06-09 13:43:12+00:00,-0.296,0.0,0.136,0.864,343
343,nytimes,Elizabeth Warren and a Scholarly Debate Over Medical Bankruptcy That Won’t Go Away https://t.co/mbz6wvuSUO,2018-06-09 13:38:05+00:00,0.0,0.0,0.0,1.0,344
344,nytimes,RT @NYTStyles: Parties! https://t.co/MdgG2e1xjI,2018-06-09 13:26:45+00:00,0.4574,0.499,0.0,0.501,345
345,nytimes,"RT @nytimesbusiness: ""Wealth was about being able to create the change you wish to see in the world.” https://t.co/KoQCO5Iy1y",2018-06-09 13:06:58+00:00,0.7906,0.333,0.0,0.667,346
346,nytimes,An exhibition in London examines the feelings people harbor about their teeth. Here's a look at some of the most cu… https://t.co/KRz76xwrXq,2018-06-09 12:50:47+00:00,0.0,0.0,0.0,1.0,347
347,nytimes,RT @NYTSports: Need a winner for the Belmont Stakes? @MHoppertNYT and @joedrape have you covered: https://t.co/44joWHhuTm,2018-06-09 12:33:02+00:00,0.5859,0.213,0.0,0.787,348
348,nytimes,Why Cities Can’t Stop Poaching From One Another https://t.co/X1SeTjbqKs,2018-06-09 12:32:42+00:00,-0.296,0.0,0.216,0.784,349
349,nytimes,RT @nytimesworld: Austrian officials have ordered seven mosques to close and may refuse dozens of imams the right to reside in the country…,2018-06-09 12:17:32+00:00,-0.296,0.0,0.091,0.909,350
350,nytimes,RT @nytrealestate: A quick guide to what you need to get your first apartment in New York City https://t.co/NQYV03Xkyn,2018-06-09 12:00:08+00:00,0.0,0.0,0.0,1.0,351
351,nytimes,Men’s Fashion Week Loses Some Luster https://t.co/TCj0nbeFMj,2018-06-09 11:49:08+00:00,-0.3182,0.0,0.277,0.723,352
